provider,category,dsl,isDecorator,resourceType,tagName,subType,iconPath,typeURI,docURI
Azure,Web,az_Notification_Hub_Namespaces,false,cloud,terminal,az_Notification_Hub_Namespaces,icons/Azure_Public_Service_Icons/Web/10053-icon-service-Notification-Hub-Namespaces.svg,,
Azure,Web,az_Azure_Media_Service,false,cloud,terminal,az_Azure_Media_Service,icons/Azure_Public_Service_Icons/Web/10309-icon-service-Azure-Media-Service.svg,,
Google Cloud Platform,Storage,gcp_Cloud_Filestore,false,cloud,terminal,gcp_Cloud_Filestore,icons/GCP Icons/Products and services/Storage/Cloud Filestore.svg,,
Google Cloud Platform,Storage,gcp_Cloud_Storage,false,cloud,terminal,gcp_Cloud_Storage,icons/GCP Icons/Products and services/Storage/Cloud Storage.svg,,
Google Cloud Platform,Storage,gcp_Persistent_Disk,false,cloud,terminal,gcp_Persistent_Disk,icons/GCP Icons/Products and services/Storage/Persistent Disk.svg,,
Azure,Storage,az_Recovery_Services_Vaults,false,cloud,terminal,az_Recovery_Services_Vaults,icons/Azure_Public_Service_Icons/Storage/00017-icon-service-Recovery-Services-Vaults.svg,,
Azure,Storage,az_Data_Lake_Store_Gen1,false,cloud,terminal,az_Data_Lake_Store_Gen1,icons/Azure_Public_Service_Icons/Storage/00045-icon-service-Data-Lake-Store-Gen1.svg,,
Azure,Storage,az_Azure_Stack_Edge,false,cloud,terminal,az_Azure_Stack_Edge,icons/Azure_Public_Service_Icons/Storage/00691-icon-service-Azure-Stack-Edge.svg,,
Google Cloud Platform,Security,gcp_Cloud_IAM,false,cloud,terminal,gcp_Cloud_IAM,icons/GCP Icons/Products and services/Security/Cloud IAM.svg,,
Azure,Storage,az_Azure_HCP_Cache,false,cloud,terminal,az_Azure_HCP_Cache,icons/Azure_Public_Service_Icons/Storage/00776-icon-service-Azure-HCP-Cache.svg,,
Azure,Storage,az_Storage_Accounts,false,cloud,terminal,az_Storage_Accounts,icons/Azure_Public_Service_Icons/Storage/10086-icon-service-Storage-Accounts.svg,,
Google Cloud Platform,Security,gcp_Cloud_Resource_Manager,false,cloud,terminal,gcp_Cloud_Resource_Manager,icons/GCP Icons/Products and services/Security/Cloud Resource Manager.svg,,
Azure,Storage,az_Storage_Accounts_(Classic),false,cloud,terminal,az_Storage_Accounts_(Classic),icons/Azure_Public_Service_Icons/Storage/10087-icon-service-Storage-Accounts-(Classic).svg,,
Azure,Storage,az_StorSimple_Device_Managers,false,cloud,terminal,az_StorSimple_Device_Managers,icons/Azure_Public_Service_Icons/Storage/10089-icon-service-StorSimple-Device-Managers.svg,,
Google Cloud Platform,Security,gcp_Cloud_Security_Command_Center,false,cloud,terminal,gcp_Cloud_Security_Command_Center,icons/GCP Icons/Products and services/Security/Cloud Security Command Center.svg,,
Azure,Storage,az_Data_Lake_Storage_Gen1,false,cloud,terminal,az_Data_Lake_Storage_Gen1,icons/Azure_Public_Service_Icons/Storage/10090-icon-service-Data-Lake-Storage-Gen1.svg,,
Azure,Storage,az_StorSimple_Data_Managers,false,cloud,terminal,az_StorSimple_Data_Managers,icons/Azure_Public_Service_Icons/Storage/10092-icon-service-StorSimple-Data-Managers.svg,,
Google Cloud Platform,Security,gcp_Cloud_Security_Scanner,false,cloud,terminal,gcp_Cloud_Security_Scanner,icons/GCP Icons/Products and services/Security/Cloud Security Scanner.svg,,
Azure,Storage,az_Data_Box,false,cloud,terminal,az_Data_Box,icons/Azure_Public_Service_Icons/Storage/10094-icon-service-Data-Box.svg,,
Azure,Storage,az_Data_Box_Edge,false,cloud,terminal,az_Data_Box_Edge,icons/Azure_Public_Service_Icons/Storage/10095-icon-service-Data-Box-Edge.svg,,
Google Cloud Platform,Security,gcp_Key_Management_Service,false,cloud,terminal,gcp_Key_Management_Service,icons/GCP Icons/Products and services/Security/Key Management Service.svg,,
Azure,Storage,az_Azure_NetApp_Files,false,cloud,terminal,az_Azure_NetApp_Files,icons/Azure_Public_Service_Icons/Storage/10096-icon-service-Azure-NetApp-Files.svg,,
Azure,Storage,az_Data_Share_Invitations,false,cloud,terminal,az_Data_Share_Invitations,icons/Azure_Public_Service_Icons/Storage/10097-icon-service-Data-Share-Invitations.svg,,
Azure,Storage,az_Data_Shares,false,cloud,terminal,az_Data_Shares,icons/Azure_Public_Service_Icons/Storage/10098-icon-service-Data-Shares.svg,,
Azure,Storage,az_Import_Export_Jobs,false,cloud,terminal,az_Import_Export_Jobs,icons/Azure_Public_Service_Icons/Storage/10100-icon-service-Import-Export-Jobs.svg,,
Google Cloud Platform,Networking,gcp_Cloud_Armor,false,cloud,terminal,gcp_Cloud_Armor,icons/GCP Icons/Products and services/Networking/Cloud Armor.svg,,
Google Cloud Platform,Networking,gcp_Cloud_CDN,false,cloud,terminal,gcp_Cloud_CDN,icons/GCP Icons/Products and services/Networking/Cloud CDN.svg,,
Azure,Preview,az_Azure_Cloud_Shell,false,cloud,terminal,az_Azure_Cloud_Shell,icons/Azure_Public_Service_Icons/Preview/00559-icon-service-Azure-Cloud-Shell.svg,,
Azure,Preview,az_Private_Link_Hub,false,cloud,terminal,az_Private_Link_Hub,icons/Azure_Public_Service_Icons/Preview/02209-icon-service-Private-Link-Hub.svg,,
Google Cloud Platform,Networking,gcp_Cloud_DNS,false,cloud,terminal,gcp_Cloud_DNS,icons/GCP Icons/Products and services/Networking/Cloud DNS.svg,,
Azure,Preview,az_Web_Environment,false,cloud,terminal,az_Web_Environment,icons/Azure_Public_Service_Icons/Preview/10846-icon-service-Web-Environment.svg,,
Google Cloud Platform,Networking,gcp_Cloud_External_IP_Addresses,false,cloud,terminal,gcp_Cloud_External_IP_Addresses,icons/GCP Icons/Products and services/Networking/Cloud External IP Addresses.svg,,
Google Cloud Platform,Networking,gcp_Cloud_Firewall_Rules,false,cloud,terminal,gcp_Cloud_Firewall_Rules,icons/GCP Icons/Products and services/Networking/Cloud Firewall Rules.svg,,
Google Cloud Platform,Networking,gcp_Cloud_Load_Balancing,false,cloud,terminal,gcp_Cloud_Load_Balancing,icons/GCP Icons/Products and services/Networking/Cloud Load Balancing.svg,,
Google Cloud Platform,Networking,gcp_Cloud_NAT,false,cloud,terminal,gcp_Cloud_NAT,icons/GCP Icons/Products and services/Networking/Cloud NAT.svg,,
Google Cloud Platform,Networking,gcp_Cloud_Network,false,cloud,terminal,gcp_Cloud_Network,icons/GCP Icons/Products and services/Networking/Cloud Network.svg,,
Azure,Other,az_Detonation,false,cloud,terminal,az_Detonation,icons/Azure_Public_Service_Icons/Other/00378-icon-service-Detonation.svg,,
Azure,Other,az_Disk_Encryption_Sets,false,cloud,terminal,az_Disk_Encryption_Sets,icons/Azure_Public_Service_Icons/Other/00398-icon-service-Disk-Encryption-Sets.svg,,
Google Cloud Platform,Networking,gcp_Cloud_Router,false,cloud,terminal,gcp_Cloud_Router,icons/GCP Icons/Products and services/Networking/Cloud Router.svg,,
Azure,Other,az_Internet_Analyzer_Profiles,false,cloud,terminal,az_Internet_Analyzer_Profiles,icons/Azure_Public_Service_Icons/Other/00469-icon-service-Internet-Analyzer-Profiles.svg,,
Azure,Other,az_IP_Groups,false,cloud,terminal,az_IP_Groups,icons/Azure_Public_Service_Icons/Other/00701-icon-service-IP-Groups.svg,,
Google Cloud Platform,Networking,gcp_Cloud_Routes,false,cloud,terminal,gcp_Cloud_Routes,icons/GCP Icons/Products and services/Networking/Cloud Routes.svg,,
Azure,Other,az_Reservations,false,cloud,terminal,az_Reservations,icons/Azure_Public_Service_Icons/Other/10003-icon-service-Reservations.svg,,
Azure,Other,az_Application_Gateways,false,cloud,terminal,az_Application_Gateways,icons/Azure_Public_Service_Icons/Other/10076-icon-service-Application-Gateways.svg,,
Google Cloud Platform,Networking,gcp_Cloud_VPN,false,cloud,terminal,gcp_Cloud_VPN,icons/GCP Icons/Products and services/Networking/Cloud VPN.svg,,
Azure,Other,az_Firewalls,false,cloud,terminal,az_Firewalls,icons/Azure_Public_Service_Icons/Other/10084-icon-service-Firewalls.svg,,
Azure,Other,az_Instance_Pools,false,cloud,terminal,az_Instance_Pools,icons/Azure_Public_Service_Icons/Other/10139-icon-service-Instance-Pools.svg,,
Google Cloud Platform,Networking,gcp_Dedicated_Interconnect,false,cloud,terminal,gcp_Dedicated_Interconnect,icons/GCP Icons/Products and services/Networking/Dedicated Interconnect.svg,,
Azure,Other,az_NAT,false,cloud,terminal,az_NAT,icons/Azure_Public_Service_Icons/Other/10310-icon-service-NAT.svg,,
Google Cloud Platform,Networking,gcp_Partner_Interconnect,false,cloud,terminal,gcp_Partner_Interconnect,icons/GCP Icons/Products and services/Networking/Partner Interconnect.svg,,
Google Cloud Platform,Networking,gcp_Premium_Network_Tier,false,cloud,terminal,gcp_Premium_Network_Tier,icons/GCP Icons/Products and services/Networking/Premium Network Tier.svg,,
Google Cloud Platform,Networking,gcp_Standard_Network_Tier,false,cloud,terminal,gcp_Standard_Network_Tier,icons/GCP Icons/Products and services/Networking/Standard Network Tier.svg,,
Google Cloud Platform,Networking,gcp_Traffic_Director,false,cloud,terminal,gcp_Traffic_Director,icons/GCP Icons/Products and services/Networking/Traffic Director.svg,,
Google Cloud Platform,Networking,gcp_Virtual_Private_Cloud,false,cloud,terminal,gcp_Virtual_Private_Cloud,icons/GCP Icons/Products and services/Networking/Virtual Private Cloud.svg,,
Azure,Networking,az_Network_Watcher,false,cloud,terminal,az_Network_Watcher,icons/Azure_Public_Service_Icons/Networking/00023-icon-service-Network-Watcher.svg,,
Azure,Networking,az_CDN_Profiles,false,cloud,terminal,az_CDN_Profiles,icons/Azure_Public_Service_Icons/Networking/00056-icon-service-CDN-Profiles.svg,,
Azure,Networking,az_Azure_Firewall_Manager,false,cloud,terminal,az_Azure_Firewall_Manager,icons/Azure_Public_Service_Icons/Networking/00271-icon-service-Azure-Firewall-Manager.svg,,
Azure,Networking,az_Private_Link,false,cloud,terminal,az_Private_Link,icons/Azure_Public_Service_Icons/Networking/00427-icon-service-Private-Link.svg,,
Azure,Networking,az_Private_Link_Service,false,cloud,terminal,az_Private_Link_Service,icons/Azure_Public_Service_Icons/Networking/01105-icon-service-Private-Link-Service.svg,,
Azure,Networking,az_Virtual_Networks,false,cloud,terminal,az_Virtual_Networks,icons/Azure_Public_Service_Icons/Networking/10061-icon-service-Virtual-Networks.svg,,
Azure,Networking,az_Load_Balancers,false,cloud,terminal,az_Load_Balancers,icons/Azure_Public_Service_Icons/Networking/10062-icon-service-Load-Balancers.svg,,
Azure,Networking,az_Virtual_Network_Gateways,false,cloud,terminal,az_Virtual_Network_Gateways,icons/Azure_Public_Service_Icons/Networking/10063-icon-service-Virtual-Network-Gateways.svg,,
Google Cloud Platform,Migration,gcp_Transfer_Appliance,false,cloud,terminal,gcp_Transfer_Appliance,icons/GCP Icons/Products and services/Migration/Transfer Appliance.svg,,
Azure,Networking,az_DNS_Zones,false,cloud,terminal,az_DNS_Zones,icons/Azure_Public_Service_Icons/Networking/10064-icon-service-DNS-Zones.svg,,
Azure,Networking,az_Traffic_Manager_Profiles,false,cloud,terminal,az_Traffic_Manager_Profiles,icons/Azure_Public_Service_Icons/Networking/10065-icon-service-Traffic-Manager-Profiles.svg,,
Azure,Networking,az_Network_Watcher,false,cloud,terminal,az_Network_Watcher,icons/Azure_Public_Service_Icons/Networking/10066-icon-service-Network-Watcher.svg,,
Azure,Networking,az_Network_Security_Groups,false,cloud,terminal,az_Network_Security_Groups,icons/Azure_Public_Service_Icons/Networking/10067-icon-service-Network-Security-Groups.svg,,
Azure,Networking,az_Public_IP_Addresses_(Classic),false,cloud,terminal,az_Public_IP_Addresses_(Classic),icons/Azure_Public_Service_Icons/Networking/10068-icon-service-Public-IP-Addresses-(Classic).svg,,
Azure,Networking,az_Public_IP_Addresses,false,cloud,terminal,az_Public_IP_Addresses,icons/Azure_Public_Service_Icons/Networking/10069-icon-service-Public-IP-Addresses.svg,,
Azure,Networking,az_Route_Filters,false,cloud,terminal,az_Route_Filters,icons/Azure_Public_Service_Icons/Networking/10071-icon-service-Route-Filters.svg,,
Azure,Networking,az_DDoS_Protection_Plans,false,cloud,terminal,az_DDoS_Protection_Plans,icons/Azure_Public_Service_Icons/Networking/10072-icon-service-DDoS-Protection-Plans.svg,,
Azure,Networking,az_Front_Doors,false,cloud,terminal,az_Front_Doors,icons/Azure_Public_Service_Icons/Networking/10073-icon-service-Front-Doors.svg,,
Azure,Networking,az_Virtual_Networks_(Classic),false,cloud,terminal,az_Virtual_Networks_(Classic),icons/Azure_Public_Service_Icons/Networking/10075-icon-service-Virtual-Networks-(Classic).svg,,
Google Cloud Platform,Management Tools,gcp_Cloud_APIs,false,cloud,terminal,gcp_Cloud_APIs,icons/GCP Icons/Products and services/Management Tools/Cloud APIs.svg,,
Azure,Networking,az_ExpressRoute_Circuits,false,cloud,terminal,az_ExpressRoute_Circuits,icons/Azure_Public_Service_Icons/Networking/10079-icon-service-ExpressRoute-Circuits.svg,,
Azure,Networking,az_Network_Interfaces,false,cloud,terminal,az_Network_Interfaces,icons/Azure_Public_Service_Icons/Networking/10080-icon-service-Network-Interfaces.svg,,
Google Cloud Platform,Management Tools,gcp_Cloud_Billing_API,false,cloud,terminal,gcp_Cloud_Billing_API,icons/GCP Icons/Products and services/Management Tools/Cloud Billing API.svg,,
Azure,Networking,az_Connections,false,cloud,terminal,az_Connections,icons/Azure_Public_Service_Icons/Networking/10081-icon-service-Connections.svg,,
Azure,Networking,az_Application_Security_Groups,false,cloud,terminal,az_Application_Security_Groups,icons/Azure_Public_Service_Icons/Networking/10083-icon-service-Application-Security-Groups.svg,,
Google Cloud Platform,Management Tools,gcp_Cloud_Console,false,cloud,terminal,gcp_Cloud_Console,icons/GCP Icons/Products and services/Management Tools/Cloud Console.svg,,
Azure,Networking,az_Service_Endpoint_Policies,false,cloud,terminal,az_Service_Endpoint_Policies,icons/Azure_Public_Service_Icons/Networking/10085-icon-service-Service-Endpoint-Policies.svg,,
Azure,Networking,az_NAT,false,cloud,terminal,az_NAT,icons/Azure_Public_Service_Icons/Networking/10310-icon-service-NAT.svg,,
Google Cloud Platform,Management Tools,gcp_Cloud_Deployment_Manager,false,cloud,terminal,gcp_Cloud_Deployment_Manager,icons/GCP Icons/Products and services/Management Tools/Cloud Deployment Manager.svg,,
Azure,Networking,az_Web_Application_Firewall_Policies(WAF),false,cloud,terminal,az_Web_Application_Firewall_Policies(WAF),icons/Azure_Public_Service_Icons/Networking/10362-icon-service-Web-Application-Firewall-Policies(WAF).svg,,
Azure,Networking,az_Proximity_Placement_Groups,false,cloud,terminal,az_Proximity_Placement_Groups,icons/Azure_Public_Service_Icons/Networking/10365-icon-service-Proximity-Placement-Groups.svg,,
Google Cloud Platform,Management Tools,gcp_Cloud_Mobile_App,false,cloud,terminal,gcp_Cloud_Mobile_App,icons/GCP Icons/Products and services/Management Tools/Cloud Mobile App.svg,,
Azure,Networking,az_Reserved_IP_Addresses_(Classic),false,cloud,terminal,az_Reserved_IP_Addresses_(Classic),icons/Azure_Public_Service_Icons/Networking/10371-icon-service-Reserved-IP-Addresses-(Classic).svg,,
Azure,Networking,az_Public_IP_Prefixes,false,cloud,terminal,az_Public_IP_Prefixes,icons/Azure_Public_Service_Icons/Networking/10372-icon-service-Public-IP-Prefixes.svg,,
Google Cloud Platform,Management Tools,gcp_Cloud_Service_Mesh,false,cloud,terminal,gcp_Cloud_Service_Mesh,icons/GCP Icons/Products and services/Management Tools/Cloud Service Mesh.svg,,
Google Cloud Platform,Management Tools,gcp_Cloud_Shell,false,cloud,terminal,gcp_Cloud_Shell,icons/GCP Icons/Products and services/Management Tools/Cloud Shell.svg,,
Google Cloud Platform,Management Tools,gcp_Debugger,false,cloud,terminal,gcp_Debugger,icons/GCP Icons/Products and services/Management Tools/Debugger.svg,,
Google Cloud Platform,Management Tools,gcp_Error_Reporting,false,cloud,terminal,gcp_Error_Reporting,icons/GCP Icons/Products and services/Management Tools/Error Reporting.svg,,
Google Cloud Platform,Management Tools,gcp_Logging,false,cloud,terminal,gcp_Logging,icons/GCP Icons/Products and services/Management Tools/Logging.svg,,
Google Cloud Platform,Management Tools,gcp_Monitoring,false,cloud,terminal,gcp_Monitoring,icons/GCP Icons/Products and services/Management Tools/Monitoring.svg,,
Azure,Mixed Reality,az_Remote_Rendering,false,cloud,terminal,az_Remote_Rendering,icons/Azure_Public_Service_Icons/Mixed Reality/00698-icon-service-Remote-Rendering.svg,,
Google Cloud Platform,Management Tools,gcp_Profiler,false,cloud,terminal,gcp_Profiler,icons/GCP Icons/Products and services/Management Tools/Profiler.svg,,
Google Cloud Platform,Management Tools,gcp_Stackdriver,false,cloud,terminal,gcp_Stackdriver,icons/GCP Icons/Products and services/Management Tools/Stackdriver.svg,,
Google Cloud Platform,Management Tools,gcp_Trace,false,cloud,terminal,gcp_Trace,icons/GCP Icons/Products and services/Management Tools/Trace.svg,,
Azure,Migrate,az_Recovery_Services_Vaults,false,cloud,terminal,az_Recovery_Services_Vaults,icons/Azure_Public_Service_Icons/Migrate/00017-icon-service-Recovery-Services-Vaults.svg,,
Azure,Migrate,az_Data_Box,false,cloud,terminal,az_Data_Box,icons/Azure_Public_Service_Icons/Migrate/10094-icon-service-Data-Box.svg,,
Azure,Migrate,az_Data_Box_Edge,false,cloud,terminal,az_Data_Box_Edge,icons/Azure_Public_Service_Icons/Migrate/10095-icon-service-Data-Box-Edge.svg,,
Google Cloud Platform,Internet of Things,gcp_Cloud_IoT_Core,false,cloud,terminal,gcp_Cloud_IoT_Core,icons/GCP Icons/Products and services/Internet of Things/Cloud IoT Core.svg,,
Azure,Management + Governance,az_Monitor,false,cloud,terminal,az_Monitor,icons/Azure_Public_Service_Icons/Management + Governance/00001-icon-service-Monitor.svg,,
Azure,Management + Governance,az_Alerts,false,cloud,terminal,az_Alerts,icons/Azure_Public_Service_Icons/Management + Governance/00002-icon-service-Alerts.svg,,
Azure,Management + Governance,az_Advisor,false,cloud,terminal,az_Advisor,icons/Azure_Public_Service_Icons/Management + Governance/00003-icon-service-Advisor.svg,,
Google Cloud Platform,Hybrid and Multi Cloud,gcp_Stackdriver,false,cloud,terminal,gcp_Stackdriver,icons/GCP Icons/Products and services/Hybrid and Multi Cloud/Stackdriver.svg,,
Azure,Management + Governance,az_User_Privacy,false,cloud,terminal,az_User_Privacy,icons/Azure_Public_Service_Icons/Management + Governance/00005-icon-service-User-Privacy.svg,,
Azure,Management + Governance,az_Blueprints,false,cloud,terminal,az_Blueprints,icons/Azure_Public_Service_Icons/Management + Governance/00006-icon-service-Blueprints.svg,,
Google Cloud Platform,Hybrid and Multi Cloud,gcp_Traffic_Director,false,cloud,terminal,gcp_Traffic_Director,icons/GCP Icons/Products and services/Hybrid and Multi Cloud/Traffic Director.svg,,
Azure,Management + Governance,az_Activity_Log,false,cloud,terminal,az_Activity_Log,icons/Azure_Public_Service_Icons/Management + Governance/00007-icon-service-Activity-Log.svg,,
Azure,Management + Governance,az_Diagnostics_Settings,false,cloud,terminal,az_Diagnostics_Settings,icons/Azure_Public_Service_Icons/Management + Governance/00008-icon-service-Diagnostics-Settings.svg,,
Azure,Management + Governance,az_Log_Analytics_Workspaces,false,cloud,terminal,az_Log_Analytics_Workspaces,icons/Azure_Public_Service_Icons/Management + Governance/00009-icon-service-Log-Analytics-Workspaces.svg,,
Azure,Management + Governance,az_Application_Insights,false,cloud,terminal,az_Application_Insights,icons/Azure_Public_Service_Icons/Management + Governance/00012-icon-service-Application-Insights.svg,,
Azure,Management + Governance,az_My_Customers,false,cloud,terminal,az_My_Customers,icons/Azure_Public_Service_Icons/Management + Governance/00014-icon-service-My-Customers.svg,,
Azure,Management + Governance,az_Managed_Applications_Center,false,cloud,terminal,az_Managed_Applications_Center,icons/Azure_Public_Service_Icons/Management + Governance/00015-icon-service-Managed-Applications-Center.svg,,
Azure,Management + Governance,az_Recovery_Services_Vaults,false,cloud,terminal,az_Recovery_Services_Vaults,icons/Azure_Public_Service_Icons/Management + Governance/00017-icon-service-Recovery-Services-Vaults.svg,,
Azure,Management + Governance,az_Policy,false,cloud,terminal,az_Policy,icons/Azure_Public_Service_Icons/Management + Governance/00018-icon-service-Policy.svg,,
Azure,Management + Governance,az_Resource_Graph_Explorer,false,cloud,terminal,az_Resource_Graph_Explorer,icons/Azure_Public_Service_Icons/Management + Governance/00019-icon-service-Resource-Graph-Explorer.svg,,
Azure,Management + Governance,az_Metrics,false,cloud,terminal,az_Metrics,icons/Azure_Public_Service_Icons/Management + Governance/00020-icon-service-Metrics.svg,,
Google Cloud Platform,Developer Tools,gcp_Cloud_Build,false,cloud,terminal,gcp_Cloud_Build,icons/GCP Icons/Products and services/Developer Tools/Cloud Build.svg,,
Azure,Management + Governance,az_Solutions,false,cloud,terminal,az_Solutions,icons/Azure_Public_Service_Icons/Management + Governance/00021-icon-service-Solutions.svg,,
Azure,Management + Governance,az_Automation_Accounts,false,cloud,terminal,az_Automation_Accounts,icons/Azure_Public_Service_Icons/Management + Governance/00022-icon-service-Automation-Accounts.svg,,
Google Cloud Platform,Developer Tools,gcp_Cloud_Code_for_IntelliJ,false,cloud,terminal,gcp_Cloud_Code_for_IntelliJ,icons/GCP Icons/Products and services/Developer Tools/Cloud Code for IntelliJ.svg,,
Azure,Management + Governance,az_Network_Watcher,false,cloud,terminal,az_Network_Watcher,icons/Azure_Public_Service_Icons/Management + Governance/00023-icon-service-Network-Watcher.svg,,
Azure,Management + Governance,az_Operation_Log_(Classic),false,cloud,terminal,az_Operation_Log_(Classic),icons/Azure_Public_Service_Icons/Management + Governance/00024-icon-service-Operation-Log-(Classic).svg,,
Google Cloud Platform,Developer Tools,gcp_Cloud_Code,false,cloud,terminal,gcp_Cloud_Code,icons/GCP Icons/Products and services/Developer Tools/Cloud Code.svg,,
Azure,Management + Governance,az_Service_Providers,false,cloud,terminal,az_Service_Providers,icons/Azure_Public_Service_Icons/Management + Governance/00025-icon-service-Service-Providers.svg,,
Google Cloud Platform,Developer Tools,gcp_Cloud_Scheduler,false,cloud,terminal,gcp_Cloud_Scheduler,icons/GCP Icons/Products and services/Developer Tools/Cloud Scheduler.svg,,
