provider,category,product,dsl,isDecorator,resourceType,tagName,subType,iconPath,typeURI,docURI
Google Cloud Platform,Storage,Cloud Filestore,gcp_Cloud_Filestore,false,cloud,terminal,gcp_Cloud_Filestore,icons/GCP%20Icons/Products%20and%20services/Storage/Cloud%20Filestore.svg,,
Google Cloud Platform,Storage,Cloud Storage,gcp_Cloud_Storage,false,cloud,terminal,gcp_Cloud_Storage,icons/GCP%20Icons/Products%20and%20services/Storage/Cloud%20Storage.svg,,
Google Cloud Platform,Storage,Persistent Disk,gcp_Persistent_Disk,false,cloud,terminal,gcp_Persistent_Disk,icons/GCP%20Icons/Products%20and%20services/Storage/Persistent%20Disk.svg,,
Google Cloud Platform,Security,Cloud IAM,gcp_Cloud_IAM,false,cloud,terminal,gcp_Cloud_IAM,icons/GCP%20Icons/Products%20and%20services/Security/Cloud%20IAM.svg,,
Google Cloud Platform,Security,Cloud Resource Manager,gcp_Cloud_Resource_Manager,false,cloud,terminal,gcp_Cloud_Resource_Manager,icons/GCP%20Icons/Products%20and%20services/Security/Cloud%20Resource%20Manager.svg,,
Google Cloud Platform,Security,Cloud Security Command Center,gcp_Cloud_Security_Command_Center,false,cloud,terminal,gcp_Cloud_Security_Command_Center,icons/GCP%20Icons/Products%20and%20services/Security/Cloud%20Security%20Command%20Center.svg,,
Google Cloud Platform,Security,Cloud Security Scanner,gcp_Cloud_Security_Scanner,false,cloud,terminal,gcp_Cloud_Security_Scanner,icons/GCP%20Icons/Products%20and%20services/Security/Cloud%20Security%20Scanner.svg,,
Google Cloud Platform,Security,Key Management Service,gcp_Key_Management_Service,false,cloud,terminal,gcp_Key_Management_Service,icons/GCP%20Icons/Products%20and%20services/Security/Key%20Management%20Service.svg,,
Google Cloud Platform,Networking,Cloud Armor,gcp_Cloud_Armor,false,cloud,terminal,gcp_Cloud_Armor,icons/GCP%20Icons/Products%20and%20services/Networking/Cloud%20Armor.svg,,
Google Cloud Platform,Networking,Cloud CDN,gcp_Cloud_CDN,false,cloud,terminal,gcp_Cloud_CDN,icons/GCP%20Icons/Products%20and%20services/Networking/Cloud%20CDN.svg,,
Google Cloud Platform,Networking,Cloud DNS,gcp_Cloud_DNS,false,cloud,terminal,gcp_Cloud_DNS,icons/GCP%20Icons/Products%20and%20services/Networking/Cloud%20DNS.svg,,
Google Cloud Platform,Networking,Cloud External IP Addresses,gcp_Cloud_External_IP_Addresses,false,cloud,terminal,gcp_Cloud_External_IP_Addresses,icons/GCP%20Icons/Products%20and%20services/Networking/Cloud%20External%20IP%20Addresses.svg,,
Google Cloud Platform,Networking,Cloud Firewall Rules,gcp_Cloud_Firewall_Rules,false,cloud,terminal,gcp_Cloud_Firewall_Rules,icons/GCP%20Icons/Products%20and%20services/Networking/Cloud%20Firewall%20Rules.svg,,
Google Cloud Platform,Networking,Cloud Load Balancing,gcp_Cloud_Load_Balancing,false,cloud,terminal,gcp_Cloud_Load_Balancing,icons/GCP%20Icons/Products%20and%20services/Networking/Cloud%20Load%20Balancing.svg,,
Google Cloud Platform,Networking,Cloud NAT,gcp_Cloud_NAT,false,cloud,terminal,gcp_Cloud_NAT,icons/GCP%20Icons/Products%20and%20services/Networking/Cloud%20NAT.svg,,
Google Cloud Platform,Networking,Cloud Network,gcp_Cloud_Network,false,cloud,terminal,gcp_Cloud_Network,icons/GCP%20Icons/Products%20and%20services/Networking/Cloud%20Network.svg,,
Google Cloud Platform,Networking,Cloud Router,gcp_Cloud_Router,false,cloud,terminal,gcp_Cloud_Router,icons/GCP%20Icons/Products%20and%20services/Networking/Cloud%20Router.svg,,
Google Cloud Platform,Networking,Cloud Routes,gcp_Cloud_Routes,false,cloud,terminal,gcp_Cloud_Routes,icons/GCP%20Icons/Products%20and%20services/Networking/Cloud%20Routes.svg,,
Google Cloud Platform,Networking,Cloud VPN,gcp_Cloud_VPN,false,cloud,terminal,gcp_Cloud_VPN,icons/GCP%20Icons/Products%20and%20services/Networking/Cloud%20VPN.svg,,
Google Cloud Platform,Networking,Dedicated Interconnect,gcp_Dedicated_Interconnect,false,cloud,terminal,gcp_Dedicated_Interconnect,icons/GCP%20Icons/Products%20and%20services/Networking/Dedicated%20Interconnect.svg,,
Google Cloud Platform,Networking,Partner Interconnect,gcp_Partner_Interconnect,false,cloud,terminal,gcp_Partner_Interconnect,icons/GCP%20Icons/Products%20and%20services/Networking/Partner%20Interconnect.svg,,
Google Cloud Platform,Networking,Premium Network Tier,gcp_Premium_Network_Tier,false,cloud,terminal,gcp_Premium_Network_Tier,icons/GCP%20Icons/Products%20and%20services/Networking/Premium%20Network%20Tier.svg,,
Google Cloud Platform,Networking,Standard Network Tier,gcp_Standard_Network_Tier,false,cloud,terminal,gcp_Standard_Network_Tier,icons/GCP%20Icons/Products%20and%20services/Networking/Standard%20Network%20Tier.svg,,
Google Cloud Platform,Networking,Traffic Director,gcp_Traffic_Director,false,cloud,terminal,gcp_Traffic_Director,icons/GCP%20Icons/Products%20and%20services/Networking/Traffic%20Director.svg,,
Google Cloud Platform,Networking,Virtual Private Cloud,gcp_Virtual_Private_Cloud,false,cloud,terminal,gcp_Virtual_Private_Cloud,icons/GCP%20Icons/Products%20and%20services/Networking/Virtual%20Private%20Cloud.svg,,
Google Cloud Platform,Migration,Transfer Appliance,gcp_Transfer_Appliance,false,cloud,terminal,gcp_Transfer_Appliance,icons/GCP%20Icons/Products%20and%20services/Migration/Transfer%20Appliance.svg,,
Google Cloud Platform,Management Tools,Cloud APIs,gcp_Cloud_APIs,false,cloud,terminal,gcp_Cloud_APIs,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Cloud%20APIs.svg,,
Google Cloud Platform,Management Tools,Cloud Billing API,gcp_Cloud_Billing_API,false,cloud,terminal,gcp_Cloud_Billing_API,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Cloud%20Billing%20API.svg,,
Google Cloud Platform,Management Tools,Cloud Console,gcp_Cloud_Console,false,cloud,terminal,gcp_Cloud_Console,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Cloud%20Console.svg,,
Google Cloud Platform,Management Tools,Cloud Deployment Manager,gcp_Cloud_Deployment_Manager,false,cloud,terminal,gcp_Cloud_Deployment_Manager,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Cloud%20Deployment%20Manager.svg,,
Google Cloud Platform,Management Tools,Cloud Mobile App,gcp_Cloud_Mobile_App,false,cloud,terminal,gcp_Cloud_Mobile_App,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Cloud%20Mobile%20App.svg,,
Google Cloud Platform,Management Tools,Cloud Service Mesh,gcp_Cloud_Service_Mesh,false,cloud,terminal,gcp_Cloud_Service_Mesh,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Cloud%20Service%20Mesh.svg,,
Google Cloud Platform,Management Tools,Cloud Shell,gcp_Cloud_Shell,false,cloud,terminal,gcp_Cloud_Shell,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Cloud%20Shell.svg,,
Google Cloud Platform,Management Tools,Debugger,gcp_Debugger,false,cloud,terminal,gcp_Debugger,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Debugger.svg,,
Google Cloud Platform,Management Tools,Error Reporting,gcp_Error_Reporting,false,cloud,terminal,gcp_Error_Reporting,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Error%20Reporting.svg,,
Google Cloud Platform,Management Tools,Logging,gcp_Logging,false,cloud,terminal,gcp_Logging,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Logging.svg,,
Google Cloud Platform,Management Tools,Monitoring,gcp_Monitoring,false,cloud,terminal,gcp_Monitoring,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Monitoring.svg,,
Google Cloud Platform,Management Tools,Profiler,gcp_Profiler,false,cloud,terminal,gcp_Profiler,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Profiler.svg,,
Google Cloud Platform,Management Tools,Stackdriver,gcp_Stackdriver,false,cloud,terminal,gcp_Stackdriver,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Stackdriver.svg,,
Google Cloud Platform,Management Tools,Trace,gcp_Trace,false,cloud,terminal,gcp_Trace,icons/GCP%20Icons/Products%20and%20services/Management%20Tools/Trace.svg,,
Google Cloud Platform,Internet of Things,Cloud IoT Core,gcp_Cloud_IoT_Core,false,cloud,terminal,gcp_Cloud_IoT_Core,icons/GCP%20Icons/Products%20and%20services/Internet%20of%20Things/Cloud%20IoT%20Core.svg,,
Google Cloud Platform,Hybrid and Multi Cloud,Stackdriver,gcp_Stackdriver,false,cloud,terminal,gcp_Stackdriver,icons/GCP%20Icons/Products%20and%20services/Hybrid%20and%20Multi%20Cloud/Stackdriver.svg,,
Google Cloud Platform,Hybrid and Multi Cloud,Traffic Director,gcp_Traffic_Director,false,cloud,terminal,gcp_Traffic_Director,icons/GCP%20Icons/Products%20and%20services/Hybrid%20and%20Multi%20Cloud/Traffic%20Director.svg,,
Google Cloud Platform,Developer Tools,Cloud Build,gcp_Cloud_Build,false,cloud,terminal,gcp_Cloud_Build,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20Build.svg,,
Google Cloud Platform,Developer Tools,Cloud Code for IntelliJ,gcp_Cloud_Code_for_IntelliJ,false,cloud,terminal,gcp_Cloud_Code_for_IntelliJ,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20Code%20for%20IntelliJ.svg,,
Google Cloud Platform,Developer Tools,Cloud Code,gcp_Cloud_Code,false,cloud,terminal,gcp_Cloud_Code,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20Code.svg,,
Google Cloud Platform,Developer Tools,Cloud Scheduler,gcp_Cloud_Scheduler,false,cloud,terminal,gcp_Cloud_Scheduler,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20Scheduler.svg,,
Google Cloud Platform,Developer Tools,Cloud SDK,gcp_Cloud_SDK,false,cloud,terminal,gcp_Cloud_SDK,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20SDK.svg,,
Google Cloud Platform,Developer Tools,Cloud Source Repositories,gcp_Cloud_Source_Repositories,false,cloud,terminal,gcp_Cloud_Source_Repositories,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20Source%20Repositories.svg,,
Google Cloud Platform,Developer Tools,Cloud Tasks,gcp_Cloud_Tasks,false,cloud,terminal,gcp_Cloud_Tasks,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20Tasks.svg,,
Google Cloud Platform,Developer Tools,Cloud Test Lab,gcp_Cloud_Test_Lab,false,cloud,terminal,gcp_Cloud_Test_Lab,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20Test%20Lab.svg,,
Google Cloud Platform,Developer Tools,Cloud Tools for Eclipse,gcp_Cloud_Tools_for_Eclipse,false,cloud,terminal,gcp_Cloud_Tools_for_Eclipse,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20Tools%20for%20Eclipse.svg,,
Google Cloud Platform,Developer Tools,Cloud Tools for PowerShell,gcp_Cloud_Tools_for_PowerShell,false,cloud,terminal,gcp_Cloud_Tools_for_PowerShell,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20Tools%20for%20PowerShell.svg,,
Google Cloud Platform,Developer Tools,Cloud Tools for Visual Studio,gcp_Cloud_Tools_for_Visual_Studio,false,cloud,terminal,gcp_Cloud_Tools_for_Visual_Studio,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20Tools%20for%20Visual%20Studio.svg,,
Google Cloud Platform,Developer Tools,Container Registry,gcp_Container_Registry,false,cloud,terminal,gcp_Container_Registry,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Container%20Registry.svg,,
Google Cloud Platform,Developer Tools,Gradle App Engine Plugin,gcp_Gradle_App_Engine_Plugin,false,cloud,terminal,gcp_Gradle_App_Engine_Plugin,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Gradle%20App%20Engine%20Plugin.svg,,
Google Cloud Platform,Developer Tools,IDE Plugins,gcp_IDE_Plugins,false,cloud,terminal,gcp_IDE_Plugins,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/IDE%20Plugins.svg,,
Google Cloud Platform,Developer Tools,Maven App Engine Plugin,gcp_Maven_App_Engine_Plugin,false,cloud,terminal,gcp_Maven_App_Engine_Plugin,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Maven%20App%20Engine%20Plugin.svg,,
Google Cloud Platform,Databases,Cloud Bigtable,gcp_Cloud_Bigtable,false,cloud,terminal,gcp_Cloud_Bigtable,icons/GCP%20Icons/Products%20and%20services/Databases/Cloud%20Bigtable.svg,,
Google Cloud Platform,Databases,Cloud Datastore,gcp_Cloud_Datastore,false,cloud,terminal,gcp_Cloud_Datastore,icons/GCP%20Icons/Products%20and%20services/Databases/Cloud%20Datastore.svg,,
Google Cloud Platform,Databases,Cloud Firestore,gcp_Cloud_Firestore,false,cloud,terminal,gcp_Cloud_Firestore,icons/GCP%20Icons/Products%20and%20services/Databases/Cloud%20Firestore.svg,,
Google Cloud Platform,Databases,Cloud Memorystore,gcp_Cloud_Memorystore,false,cloud,terminal,gcp_Cloud_Memorystore,icons/GCP%20Icons/Products%20and%20services/Databases/Cloud%20Memorystore.svg,,
Google Cloud Platform,Databases,Cloud Spanner,gcp_Cloud_Spanner,false,cloud,terminal,gcp_Cloud_Spanner,icons/GCP%20Icons/Products%20and%20services/Databases/Cloud%20Spanner.svg,,
Google Cloud Platform,Databases,Cloud SQL,gcp_Cloud_SQL,false,cloud,terminal,gcp_Cloud_SQL,icons/GCP%20Icons/Products%20and%20services/Databases/Cloud%20SQL.svg,,
Google Cloud Platform,Data Analytics,BigQuery,gcp_BigQuery,false,cloud,terminal,gcp_BigQuery,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/BigQuery.svg,,
Google Cloud Platform,Data Analytics,Cloud Composer,gcp_Cloud_Composer,false,cloud,terminal,gcp_Cloud_Composer,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Composer.svg,,
Google Cloud Platform,Data Analytics,Cloud Data Catalog,gcp_Cloud_Data_Catalog,false,cloud,terminal,gcp_Cloud_Data_Catalog,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Data%20Catalog.svg,,
Google Cloud Platform,Data Analytics,Cloud Data Fusion,gcp_Cloud_Data_Fusion,false,cloud,terminal,gcp_Cloud_Data_Fusion,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Data%20Fusion.svg,,
Google Cloud Platform,Data Analytics,Cloud Dataflow,gcp_Cloud_Dataflow,false,cloud,terminal,gcp_Cloud_Dataflow,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Dataflow.svg,,
Google Cloud Platform,Data Analytics,Cloud Datalab,gcp_Cloud_Datalab,false,cloud,terminal,gcp_Cloud_Datalab,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Datalab.svg,,
Google Cloud Platform,Data Analytics,Cloud Dataprep,gcp_Cloud_Dataprep,false,cloud,terminal,gcp_Cloud_Dataprep,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Dataprep.svg,,
Google Cloud Platform,Data Analytics,Cloud Dataproc,gcp_Cloud_Dataproc,false,cloud,terminal,gcp_Cloud_Dataproc,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Dataproc.svg,,
Google Cloud Platform,Data Analytics,Cloud PubSub,gcp_Cloud_PubSub,false,cloud,terminal,gcp_Cloud_PubSub,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20PubSub.svg,,
Google Cloud Platform,Data Analytics,Genomics,gcp_Genomics,false,cloud,terminal,gcp_Genomics,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Genomics.svg,,
Google Cloud Platform,Compute,App Engine,gcp_App_Engine,false,cloud,terminal,gcp_App_Engine,icons/GCP%20Icons/Products%20and%20services/Compute/App%20Engine.svg,,
Google Cloud Platform,Compute,Cloud Functions,gcp_Cloud_Functions,false,cloud,terminal,gcp_Cloud_Functions,icons/GCP%20Icons/Products%20and%20services/Compute/Cloud%20Functions.svg,,
Google Cloud Platform,Compute,Cloud Run,gcp_Cloud_Run,false,cloud,terminal,gcp_Cloud_Run,icons/GCP%20Icons/Products%20and%20services/Compute/Cloud%20Run.svg,,
Google Cloud Platform,Compute,Compute Engine,gcp_Compute_Engine,false,cloud,terminal,gcp_Compute_Engine,icons/GCP%20Icons/Products%20and%20services/Compute/Compute%20Engine.svg,,
Google Cloud Platform,Compute,Container-Optimized OS,gcp_Container_Optimized_OS,false,cloud,terminal,gcp_Container_Optimized_OS,icons/GCP%20Icons/Products%20and%20services/Compute/Container-Optimized%20OS.svg,,
Google Cloud Platform,Compute,GKE On-Prem,gcp_GKE_On_Prem,false,cloud,terminal,gcp_GKE_On_Prem,icons/GCP%20Icons/Products%20and%20services/Compute/GKE%20On-Prem.svg,,
Google Cloud Platform,Compute,GPU,gcp_GPU,false,cloud,terminal,gcp_GPU,icons/GCP%20Icons/Products%20and%20services/Compute/GPU.svg,,
Google Cloud Platform,Compute,Kubetnetes Engine,gcp_Kubetnetes_Engine,false,cloud,terminal,gcp_Kubetnetes_Engine,icons/GCP%20Icons/Products%20and%20services/Compute/Kubetnetes%20Engine.svg,,
Google Cloud Platform,API Management,API Analytics,gcp_API_Analytics,false,cloud,terminal,gcp_API_Analytics,icons/GCP%20Icons/Products%20and%20services/API%20Management/API%20Analytics.svg,,
Google Cloud Platform,API Management,API Monetization,gcp_API_Monetization,false,cloud,terminal,gcp_API_Monetization,icons/GCP%20Icons/Products%20and%20services/API%20Management/API%20Monetization.svg,,
Google Cloud Platform,API Management,Apigee API Platform,gcp_Apigee_API_Platform,false,cloud,terminal,gcp_Apigee_API_Platform,icons/GCP%20Icons/Products%20and%20services/API%20Management/Apigee%20API%20Platform.svg,,
Google Cloud Platform,API Management,Apigee Sense,gcp_Apigee_Sense,false,cloud,terminal,gcp_Apigee_Sense,icons/GCP%20Icons/Products%20and%20services/API%20Management/Apigee%20Sense.svg,,
Google Cloud Platform,API Management,Cloud Endpoints,gcp_Cloud_Endpoints,false,cloud,terminal,gcp_Cloud_Endpoints,icons/GCP%20Icons/Products%20and%20services/API%20Management/Cloud%20Endpoints.svg,,
Google Cloud Platform,API Management,Developer Portal,gcp_Developer_Portal,false,cloud,terminal,gcp_Developer_Portal,icons/GCP%20Icons/Products%20and%20services/API%20Management/Developer%20Portal.svg,,
Google Cloud Platform,AI and Machine Learning,Advanced Solutions Lab,gcp_Advanced_Solutions_Lab,false,cloud,terminal,gcp_Advanced_Solutions_Lab,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Advanced%20Solutions%20Lab.svg,,
Google Cloud Platform,AI and Machine Learning,AI Hub,gcp_AI_Hub,false,cloud,terminal,gcp_AI_Hub,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/AI%20Hub.svg,,
Google Cloud Platform,AI and Machine Learning,AI Platform Data Labeling Service,gcp_AI_Platform_Data_Labeling_Service,false,cloud,terminal,gcp_AI_Platform_Data_Labeling_Service,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/AI%20Platform%20Data%20Labeling%20Service.svg,,
Google Cloud Platform,AI and Machine Learning,AI Platform,gcp_AI_Platform,false,cloud,terminal,gcp_AI_Platform,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/AI%20Platform.svg,,
Google Cloud Platform,AI and Machine Learning,AutoML Natural Language,gcp_AutoML_Natural_Language,false,cloud,terminal,gcp_AutoML_Natural_Language,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/AutoML%20Natural%20Language.svg,,
Google Cloud Platform,AI and Machine Learning,AutoML Tables,gcp_AutoML_Tables,false,cloud,terminal,gcp_AutoML_Tables,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/AutoML%20Tables.svg,,
Google Cloud Platform,AI and Machine Learning,AutoML Translation,gcp_AutoML_Translation,false,cloud,terminal,gcp_AutoML_Translation,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/AutoML%20Translation.svg,,
Google Cloud Platform,AI and Machine Learning,AutoML Video Intelligence,gcp_AutoML_Video_Intelligence,false,cloud,terminal,gcp_AutoML_Video_Intelligence,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/AutoML%20Video%20Intelligence.svg,,
Google Cloud Platform,AI and Machine Learning,AutoML Vision,gcp_AutoML_Vision,false,cloud,terminal,gcp_AutoML_Vision,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/AutoML%20Vision.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud AutoML,gcp_Cloud_AutoML,false,cloud,terminal,gcp_Cloud_AutoML,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Cloud%20AutoML.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Inference API,gcp_Cloud_Inference_API,false,cloud,terminal,gcp_Cloud_Inference_API,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Cloud%20Inference%20API.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Jobs API,gcp_Cloud_Jobs_API,false,cloud,terminal,gcp_Cloud_Jobs_API,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Cloud%20Jobs%20API.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Natural Language API,gcp_Cloud_Natural_Language_API,false,cloud,terminal,gcp_Cloud_Natural_Language_API,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Cloud%20Natural%20Language%20API.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Speech-to-Text,gcp_Cloud_Speech_to_Text,false,cloud,terminal,gcp_Cloud_Speech_to_Text,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Cloud%20Speech-to-Text.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Text-to-Speech,gcp_Cloud_Text_to_Speech,false,cloud,terminal,gcp_Cloud_Text_to_Speech,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Cloud%20Text-to-Speech.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud TPU,gcp_Cloud_TPU,false,cloud,terminal,gcp_Cloud_TPU,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Cloud%20TPU.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Translation API,gcp_Cloud_Translation_API,false,cloud,terminal,gcp_Cloud_Translation_API,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Cloud%20Translation%20API.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Video Intelligence API,gcp_Cloud_Video_Intelligence_API,false,cloud,terminal,gcp_Cloud_Video_Intelligence_API,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Cloud%20Video%20Intelligence%20API.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Vision API,gcp_Cloud_Vision_API,false,cloud,terminal,gcp_Cloud_Vision_API,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Cloud%20Vision%20API.svg,,
Google Cloud Platform,AI and Machine Learning,Dialog Flow Enterprise Edition,gcp_Dialog_Flow_Enterprise_Edition,false,cloud,terminal,gcp_Dialog_Flow_Enterprise_Edition,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Dialog%20Flow%20Enterprise%20Edition.svg,,
Google Cloud Platform,AI and Machine Learning,Recommendations AI,gcp_Recommendations_AI,false,cloud,terminal,gcp_Recommendations_AI,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Recommendations%20AI.svg,,